timestamp,acceleration,noisyacceleration
0,0.35,0.740224255
0.1,0.35,0.420646487
0.2,0.35,0.713445093
0.3,0.35,0.569151001
0.4,0.35,-0.019685135
0.5,0.35,0.038493521
0.6,0.35,0.421789342
0.7,0.35,0.512919401
0.8,0.35,0.172809311
0.9,0.35,0.02140994
1,0.35,0.420153414
1.1,0.35,0.541544833
1.2,0.35,0.648061564
1.3,0.35,0.805081103
1.4,0.35,0.03664844
1.5,0.35,0.384291916
1.6,0.35,0.804633836
1.7,0.35,0.516640655
1.8,0.35,0.844320307
1.9,0.35,0.610562552
2,0.35,-0.130397369
2.1,0.35,0.203339562
2.2,0.35,0.629511297
2.3,0.35,0.69547884
2.4,0.35,0.823362277
2.5,0.35,0.565253799
2.6,0.35,0.135657919
2.7,0.35,0.441660189
2.8,0.35,0.845930314
2.9,0.35,0.142444454
3,0.35,0.789765636
3.1,0.35,0.684265355
3.2,0.35,0.038885637
3.3,0.35,0.41957508
3.4,0.35,0.292450182
3.5,0.35,0.809800482
3.6,0.35,0.571547678
3.7,0.35,0.040682523
3.8,0.35,0.639328535
3.9,0.35,0.606888474
4,0.35,-0.069307669
4.1,0.35,0.479085549
4.2,0.35,0.301889115
4.3,0.35,0.654359738
4.4,0.35,-0.074664626
4.5,0.35,0.349032467
4.6,0.35,0.382723489
4.7,0.35,0.502998508
4.8,0.35,0.833847939
4.9,0.35,0.582450277
5,0.35,0.710845789
5.1,0,-0.485524009
5.2,0,0.354512962
5.3,0,0.380253457
5.4,0,-0.490306431
5.5,0,-0.139870376
5.6,0,0.267025267
5.7,0,-0.330383903
5.8,0,0.025175621
5.9,0,0.482698241
6,0,-0.202120517
6.1,0,-0.142244544
6.2,0,-0.035078223
6.3,0,-0.439488606
6.4,0,0.236175563
6.5,0,0.007746191
6.6,0,0.10662204
6.7,0,-0.230202469
6.8,0,0.224214435
6.9,0,-0.055741684
7,0,0.100966459
7.1,0,-0.341034498
7.2,0,-0.371740199
7.3,0,0.233072858
7.4,0,0.299795045
7.5,0,-0.001950528
7.6,0,-0.441165864
7.7,0,0.431344935
7.8,0,-0.315774338
7.9,0,0.306144264
8,0,-0.144351392
8.1,0,-0.392497407
8.2,0,-0.284147122
8.3,0,-0.121450322
8.4,0,-0.206572032
8.5,0,-0.4266418
8.6,0,0.375923449
8.7,0,-0.474083749
8.8,0,-0.214265689
8.9,0,-0.36168222
9,0,0.067331212
9.1,0,-0.18837172
9.2,0,-0.416550375
9.3,0,0.286185569
9.4,0,0.486469324
9.5,0,-0.234151608
9.6,0,0.419137344
9.7,0,-0.301492694
9.8,0,0.433738036
9.9,0,-0.276332857
10,0,0.444372416
10.1,0,-0.033724638
10.2,0,0.013551453
10.3,0,-0.137265518
10.4,0,0.308471108
10.5,0,-0.139103483
10.6,0,-0.140960754
10.7,0,0.238537048
10.8,0,0.016943859
10.9,0,-0.400813645
11,0,0.238278239
11.1,0,0.321424908
11.2,0,-0.386744021
11.3,0,-0.427992888
11.4,0,0.291921251
11.5,0,-0.456575816
11.6,0,0.386924529
11.7,0,-0.409267715
11.8,0,0.236702905
11.9,0,-0.202264661
12,0,0.262101579
12.1,0,-0.467851215
12.2,0,0.055954092
12.3,0,0.207973422
12.4,0,0.346726656
12.5,0,0.103736719
12.6,0,0.437549648
12.7,0,-0.494861669
12.8,0,0.334047626
12.9,0,0.176719725
13,0,0.103456336
13.1,0,0.489938732
13.2,0,-0.384850731
13.3,0,-0.275188547
13.4,0,-0.334461314
13.5,0,-0.422050322
13.6,0,0.005588308
13.7,0,-0.250994188
13.8,0,-0.08867851
13.9,0,-0.431442024
14,0,0.122250209
14.1,0,0.372308943
14.2,0,0.008097476
14.3,0,0.324360125
14.4,0,-0.44134517
14.5,0,0.405522341
14.6,0,0.372397915
14.7,0,0.236167817
14.8,0,0.308536262
14.9,0,-0.106670948
15,0,-0.443098453
15.1,-0.35,-0.561966336
15.2,-0.35,-0.362304969
15.3,-0.35,-0.660654867
15.4,-0.35,-0.501180672
15.5,-0.35,0.090799097
15.6,-0.35,-0.765312454
15.7,-0.35,-0.572052038
15.8,-0.35,-0.604733928
15.9,-0.35,-0.227447329
16,-0.35,-0.615596228
16.1,-0.35,-0.421244062
16.2,-0.35,-0.027207799
16.3,-0.35,-0.474562231
16.4,-0.35,0.038872208
16.5,-0.35,-0.083840063
16.6,-0.35,-0.225529881
16.7,-0.35,0.12900529
16.8,-0.35,-0.601128713
16.9,-0.35,-0.707409093
17,-0.35,-0.608197245
17.1,-0.35,-0.3232636
17.2,-0.35,-0.504483554
17.3,-0.35,0.133589538
17.4,-0.35,-0.746530185
17.5,-0.35,-0.527708074
17.6,-0.35,-0.574024062
17.7,-0.35,-0.761379115
17.8,-0.35,-0.2010714
17.9,-0.35,-0.726965252
18,-0.35,-0.546734203
18.1,-0.35,-0.289170555
18.2,-0.35,-0.491916865
18.3,-0.35,-0.102662911
18.4,-0.35,-0.034913559
18.5,-0.35,-0.340812734
18.6,-0.35,-0.307182395
18.7,-0.35,-0.597544946
18.8,-0.35,-0.543345069
18.9,-0.35,-0.470480195
19,-0.35,-0.475982756
19.1,-0.35,-0.839834356
19.2,-0.35,-0.373908543
19.3,-0.35,-0.769431806
19.4,-0.35,-0.021558806
19.5,-0.35,-0.74328231
19.6,-0.35,-0.015712869
19.7,-0.35,-0.223340807
19.8,-0.35,-0.017243114
19.9,-0.35,-0.013406632
20,-0.35,0.100989857

